Hora,No,Vibracion,Lugar
14:27:06,705,22.72,domo
14:27:06,706,12.47,domo
14:27:06,707,23.39,domo
14:27:06,708,21.93,domo
14:27:06,709,16.87,domo
14:27:06,710,3.148,domo
14:27:06,711,8.099,domo
14:27:06,712,18.98,domo
14:27:06,713,18.22,domo
14:27:06,714,15.75,domo
14:27:06,715,22.09,domo
14:27:06,716,22.34,domo
14:27:06,717,4.295,domo
14:27:06,718,4.238,domo
14:27:06,719,23.03,domo
14:27:06,720,8.349,domo
14:27:06,721,1.559,domo
14:27:06,722,21.98,domo
14:27:06,723,18.21,domo
14:27:06,724,22,domo
14:27:06,725,21.86,domo
14:27:06,726,21.89,domo
14:27:06,727,21.55,domo
14:27:06,728,24.96,domo
14:27:07,729,8.291,domo
14:27:07,730,2.621,domo
14:27:07,731,2.928,domo
14:27:07,732,17.89,domo
14:27:07,733,20.46,domo
14:27:07,734,4.732,domo
14:27:07,735,2.391,domo
14:27:07,736,5.484,domo
14:27:07,737,16.18,domo
14:27:08,738,18.29,domo
14:27:08,739,16.31,domo
14:27:08,740,21.84,domo
14:27:08,741,5.074,domo
14:27:08,742,5.299,domo
14:27:08,743,6.785,domo
14:27:08,744,14.72,domo
14:27:08,745,11.71,domo
14:27:08,746,14.95,domo
14:27:08,747,2.603,domo
14:27:08,748,18.75,domo
14:27:09,749,11.8,domo
14:27:09,750,8.542,domo
14:27:09,751,3.623,domo
14:27:09,752,16.14,domo
14:27:10,753,5.299,domo
14:27:10,754,5.367,domo
14:27:10,755,16.62,domo
14:27:10,756,9.092,domo
14:27:10,757,4.198,domo
14:27:10,758,3.753,domo
14:27:10,759,17.34,domo
14:27:10,760,7.193,domo
14:27:10,761,2.874,domo
14:27:10,762,9.044,domo
14:27:10,763,15.69,domo
14:27:10,764,4.655,domo
14:27:10,765,12.7,domo
14:27:10,766,3.648,domo
14:27:10,767,6.065,domo
14:27:10,768,12.83,domo
14:27:10,769,3.203,domo
14:27:10,770,13.52,domo
14:27:10,771,8.32,domo
14:27:10,772,13.26,domo
14:27:10,773,15.27,domo
14:27:10,774,10.18,domo
14:27:10,775,1.315,domo
14:27:11,776,20.95,domo
14:27:11,777,20.7,domo
14:27:11,778,4.167,domo
14:27:11,779,6.022,domo
14:27:11,780,6.782,domo
14:27:11,781,6.385,domo
14:27:11,782,5.149,domo
14:27:11,783,7.236,domo
14:27:11,784,6.049,domo
14:27:12,785,9.143,domo
14:27:12,786,14.44,domo
14:27:12,787,7.581,domo
14:27:12,788,5.318,domo
14:27:12,789,9.882,domo
14:27:12,790,6.302,domo
14:27:12,791,4.904,domo
14:27:12,792,15.82,domo
14:27:12,793,14.03,domo
14:27:12,794,3.548,domo
14:27:12,795,5.407,domo
14:27:12,796,18.24,domo
14:27:12,797,2.609,domo
14:27:12,798,5.533,domo
14:27:13,799,4.311,domo
14:27:13,800,16.93,domo
14:27:13,801,7.608,domo
14:27:13,802,12.52,domo
14:27:13,803,5.686,domo
14:27:13,804,4.153,domo
14:27:13,805,8.616,domo
14:27:13,806,10.93,domo
14:27:13,807,16.77,domo
14:27:13,808,11.28,domo
14:27:13,809,3.142,domo
14:27:13,810,10.99,domo
14:27:13,811,9.117,domo
14:27:13,812,1.975,domo
14:27:13,813,16.17,domo
14:27:13,814,4.021,domo
14:27:13,815,6.969,domo
14:27:13,816,9.843,domo
14:27:13,817,10.63,domo
14:27:13,818,8.024,domo
14:27:13,819,11.09,domo
14:27:14,820,4.448,domo
14:27:14,821,16.01,domo
14:27:14,822,16.69,domo
14:27:14,823,20.61,domo
14:27:14,824,5.726,domo
14:27:14,825,4.804,domo
14:27:14,826,6.486,domo
14:27:14,827,21.68,domo
14:27:14,828,17.54,domo
14:27:14,829,15.75,domo
14:27:14,830,8.305,domo
14:27:14,831,17.07,domo
14:27:14,832,10.16,domo
14:27:15,833,3.297,domo
14:27:15,834,19.23,domo
14:27:15,835,22.76,domo
14:27:15,836,22.4,domo
14:27:15,837,1.986,domo
14:27:15,838,6.827,domo
14:27:15,839,22.29,domo
14:27:15,840,22.97,domo
14:27:15,841,5.633,domo
14:27:15,842,7.688,domo
14:27:15,843,17.88,domo
14:27:15,844,15.27,domo
14:27:15,845,21.82,domo
14:27:16,846,19.82,domo
14:27:16,847,16.12,domo
14:27:16,848,22.17,domo
14:27:16,849,1.471,domo
14:27:16,850,2.868,domo
14:27:16,851,24.24,domo
14:27:16,852,4.91,domo
14:27:16,853,22.19,domo
14:27:16,854,2.877,domo
14:27:16,855,6.267,domo
14:27:16,856,5.343,domo
14:27:16,857,5.037,domo
14:27:16,858,7.811,domo
14:27:17,859,2.891,domo
14:27:17,860,3.657,domo
14:27:17,861,18.76,domo
14:27:17,862,26.71,domo
14:27:17,863,19.05,domo
14:27:17,864,14.17,domo
14:27:17,865,19.87,domo
14:27:17,866,21.38,domo
14:27:17,867,6.636,domo
14:27:17,868,9.073,domo
14:27:17,869,26.91,domo
14:27:17,870,12.5,domo
14:27:17,871,13.97,domo
14:27:18,872,1.189,domo
14:27:18,873,16,domo
14:27:18,874,17.31,domo
14:27:18,875,13.41,domo
14:27:18,876,10.66,domo
14:27:18,877,9.611,domo
14:27:18,878,15.91,domo
14:27:18,879,16.62,domo
14:27:18,880,18.03,domo
14:27:18,881,19.99,domo
14:27:18,882,8.985,domo
14:27:18,883,22,domo
14:27:18,884,5.071,domo
14:27:19,885,9.249,domo
14:27:19,886,21.23,domo
14:27:19,887,9.704,domo
14:27:19,888,21.82,domo
14:27:20,889,18.97,domo
14:27:20,890,22.15,domo
14:27:20,891,4.689,domo
14:27:20,892,5.178,domo
14:27:20,893,22.5,domo
14:27:20,894,12.05,domo
14:27:20,895,9.122,domo
14:27:20,896,2.512,domo
14:27:20,897,17.86,domo
14:27:20,898,18.27,domo
14:27:20,899,10.14,domo
14:27:20,900,22.66,domo
14:27:20,901,22.04,domo
14:27:20,902,24.06,domo
14:27:20,903,4.617,domo
14:27:20,904,14.12,domo
14:27:20,905,9.048,domo
14:27:20,906,19,domo
14:27:20,907,11.14,domo
14:27:20,908,16.14,domo
14:27:20,909,22.56,domo
14:27:21,910,21.82,domo
14:27:21,911,6.007,domo
14:27:21,912,23.44,domo
14:27:21,913,17.32,domo
14:27:21,914,21.82,domo
14:27:22,915,15.55,domo
14:27:22,916,9.616,domo
14:27:22,917,9.37,domo
14:27:22,918,20.77,domo
14:27:22,919,21.94,domo
14:27:22,920,11.27,domo
14:27:22,921,16.59,domo
14:27:22,922,16.32,domo
14:27:22,923,22.14,domo
14:27:22,924,22.14,domo
14:27:22,925,15.51,domo
14:27:22,926,9.022,domo
14:27:22,927,26.91,domo
14:27:22,928,22.07,domo
14:27:22,929,21.88,domo
